Event,Year,Location,Category
Mandai massacre,1980,Tripura, India,Border Infiltration
Bagber massacre,2000,Tripura, India,Border Infiltration
Kamalnagar massacre,2003,Tripura, India,Border Infiltration
Brahmaputra Mail train bombing,1996,Assam, India,Border Infiltration
2004 Dhemaji school bombing,2004,Dhemaji, Assam, India,Border District Terror
Dimapur bombings,2004,Dimapur, Nagaland, India,Northeast Border Zone
Malegaon bombings,2006,Malegaon, Maharashtra, India,Cross-border Terror Links
Samjhauta Express bombings,2007,Panipat, Haryana, India,Cross-border Train Attack
2008 Mumbai attacks,2008,Mumbai, Maharashtra, India,Coastal Infiltration
Akshardham temple attack,2002,Gandhinagar, Gujarat, India,Border Infiltration
J&K Assembly bombing,2001,Srinagar, Jammu and Kashmir, India,Border Infiltration
Indian Parliament attack,2001,New Delhi, Delhi, India,Border Infiltration
Raghunath temple attacks,2002,Jammu, Jammu and Kashmir, India,Border Proximity
Nadimarg massacre,2003,Pulwama, Jammu and Kashmir, India,Cross-border Extremists
Jammu railway station attack,2004,Jammu, Jammu and Kashmir, India,Border Zone Attack
Pathankot attack,2016,Pathankot, Punjab, India,Border Infiltration
Uri attack,2016,Uri, Jammu and Kashmir, India,Line-of-Control Infiltration
Baramulla attack,2016,Baramulla, Jammu and Kashmir, India,Border Sector Attack
Handwara attack,2016,Handwara, Jammu and Kashmir, India,Border Infiltration Zone
Nagrota army base attack,2016,Nagrota, Jammu and Kashmir, India,Border-Proximate Military Installation
Sunjuwan attack,2018,Jammu, Jammu and Kashmir, India,Terrorist Infiltration
Pulwama attack,2019,Awantipora, Jammu and Kashmir, India,Cross-border Planning
Kashmir attack,2019,Awantipora, Jammu and Kashmir, India,Cross-border Fire Exchange
Rajouri attacks,2023,Rajouri, Jammu and Kashmir, India,Border Terrorism
Reasi attack,2024,Reasi, Jammu and Kashmir, India,Border-Periphery Terror
Pahalgam attack,2025,Pahalgam, Jammu and Kashmir, India,Border-Linked Attack
Dantewada attack,2010,Dantewada, Chhattisgarh, India,Maoist Insurgency
Naxal attack in Darbha valley,2013,Sukma, Chhattisgarh, India,Maoist Jungle Ambush
Sukma attack,2017,Sukma, Chhattisgarh, India,Maoist Insurgency
Sukma Maoist attack,2020,Sukma, Chhattisgarh, India,Maoist Jungle Ambush
Sukmaâ€“Bijapur attack,2021,Sukma, Chhattisgarh, India,Dense Border Forest Ambush
Dantewada bombing,2023,Dantewada, Chhattisgarh, India,Repeat Insurgency Zone
